
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
"Cliente_PISANI PLASTICOS S,A",    8.2797,    1.013,    8.173, 0.000,    6.294,   10.265
Cliente_PISOFORTE REVESTIMENTOS CERAMICOS LTDA,    6.9468,    1.020,    6.808, 0.000,    4.946,    8.947
Cliente_PISTACHE CONFECCOES LTDA,    6.2833,    0.829,    7.577, 0.000,    4.658,    7.909
Cliente_PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA,    7.5856,    0.701,   10.820, 0.000,    6.211,    8.960
Cliente_PLASSON DO BRASIL LTDA,    6.8368,    0.736,    9.292, 0.000,    5.394,    8.279
Cliente_PLASTICOS IBRACIL LTDA,    6.1346,    1.012,    6.061, 0.000,    4.150,    8.119
"Cliente_PLATODIESEL IND, E COM, DE PECAS AUTOMOTIVAS LTDA,",    6.1427,    1.012,    6.069, 0.000,    4.159,    8.127
Cliente_PLP - PRODUTOS PARA LINHAS PREFORMADOS LTDA,    4.4461,    0.832,    5.347, 0.000,    2.816,    6.076
Cliente_PLUMA AGRO AVICOLA LTDA,    6.1325,    0.808,    7.590, 0.000,    4.549,    7.716
Cliente_PMG TRADING S/A,    8.1525,    0.832,    9.797, 0.000,    6.521,    9.784
Cliente_POLIMETRI INDUSTRIA METALURGICA LTDA,    6.4542,    0.664,    9.713, 0.000,    5.152,    7.757
Cliente_POLIMOLD INDUSTRIAL S/A,    6.5835,    0.656,   10.031, 0.000,    5.297,    7.870
Cliente_POLIRIM DO BRASIL INDUSTRIA DE PECAS LTDA,    7.9459,    1.013,    7.845, 0.000,    5.960,    9.932
"Cliente_POLITORNO MOVEIS LTDA,",    7.1407,    1.013,    7.050, 0.000,    5.155,    9.126
"Cliente_POLYSTAR - INDUSTRIA E COM, DE PROD, SINTETICOS LTDA",    5.5434,    1.036,    5.350, 0.000,    3.512,    7.575
Cliente_POMAR S/A INDUSTRIAL E COMERCIAL,    6.7175,    1.012,    6.637, 0.000,    4.733,    8.702
Cliente_POMI FRUTAS S/A,    6.3185,    0.665,    9.499, 0.000,    5.014,    7.622
Cliente_POMIFRAI FRUTICULTURA SA,    6.8405,    0.698,    9.803, 0.000,    5.473,    8.208
"Cliente_PPALBER INDUSTRIAL, COMERCIAL E IMPORTADORA LTDA,",    4.0188,    1.012,    3.971, 0.000,    2.035,    6.003
Cliente_PPE FIOS ESMALTADOS S/A,    7.5353,    0.629,   11.986, 0.000,    6.303,    8.768
Cliente_PRALANA INDUSTRIA E COMERCIO LTDA,    6.3575,    1.012,    6.281, 0.000,    4.373,    8.342
Cliente_PRAT-K UTILIDADES LIMITADA,    6.9110,    0.763,    9.061, 0.000,    5.416,    8.406
"Cliente_PRATICA KLIMAQUIP INDUSTRIA E COMERCIO S,A,",    6.0188,    1.031,    5.838, 0.000,    3.998,    8.040
"Cliente_PRATICA PRODUTOS S,A,",    5.6941,    0.853,    6.672, 0.000,    4.021,    7.367
Cliente_PREDILECTA ALIMENTOS LTDA,    6.8663,    0.673,   10.197, 0.000,    5.546,    8.186
Cliente_PRENSAS SCHULER S A,    7.7505,    0.605,   12.806, 0.000,    6.564,    8.937
Cliente_PRESSURE COMPRESSORES LTDA,    5.1480,    1.050,    4.904, 0.000,    3.090,    7.206
Cliente_PRIMO TEDESCO SA,    5.2082,    0.664,    7.839, 0.000,    3.906,    6.511
Cliente_PROCOPIO INDUSTRIA E COMERCIO LTDA,    6.4838,    1.050,    6.176, 0.000,    4.426,    8.542
Cliente_PROCTER & GAMBLE HIGIENE E COSMETICOS LTDA,    6.4975,    1.012,    6.419, 0.000,    4.513,    8.482
Cliente_PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA,    8.1151,    1.012,    8.017, 0.000,    6.131,   10.100
Cliente_PRODUTOS ALIMENTICIOS ARAPONGAS S/A PRODASA,    5.7148,    0.724,    7.889, 0.000,    4.295,    7.135
Cliente_PRODUTOS ERLAN S/A,    5.4129,    1.031,    5.251, 0.000,    3.392,    7.434
Cliente_PRODUTOS ROCHE QUIMICOS E FAMACEUTICOS S/A,    7.7740,    0.701,   11.089, 0.000,    6.400,    9.148
Cliente_PROJETO LM IND E COM LTDA,    4.7481,    0.851,    5.581, 0.000,    3.080,    6.416
Cliente_PROMAFLEX INDUSTRIAL LTDA,    5.1470,    1.012,    5.085, 0.000,    3.163,    7.131
